,Datetime Event Began,Alert Criteria,State Affected_Alabama,State Affected_Arizona,State Affected_Arkansas,State Affected_California,State Affected_Colorado,State Affected_Connecticut,State Affected_Florida,State Affected_Georgia,State Affected_Idaho,State Affected_Illinois,State Affected_Indiana,State Affected_Iowa,State Affected_Kansas,State Affected_Kentucky,State Affected_Louisiana,State Affected_Maryland,State Affected_Massachusetts,State Affected_Michigan,State Affected_Minnesota,State Affected_Mississippi,State Affected_Missouri,State Affected_Montana,State Affected_Nebraska,State Affected_Nevada,State Affected_New Hampshire,State Affected_New Jersey,State Affected_New Mexico,State Affected_New York,State Affected_North Carolina,State Affected_North Dakota,State Affected_Ohio,State Affected_Oklahoma,State Affected_Oregon,State Affected_Pennsylvania,State Affected_South Carolina,State Affected_South Dakota,State Affected_Tennessee,State Affected_Texas,State Affected_Utah,State Affected_Virginia,State Affected_Washington,State Affected_Wisconsin,State Affected_Wyoming,NERC Region_FRCC,NERC Region_MRO,NERC Region_NPCC,NERC Region_RF,NERC Region_SERC,NERC Region_SPP RE,NERC Region_TRE,NERC Region_WECC,Event Type_Cyber Event,Event Type_Other,Event Type_Severe Weather,Event Type_System Operations,Event Type_Transmission / Distribution Interruption,Event Type_Vandalism,scaled_Demand Loss (MW),scaled_Number of Customers Affected,scaled_State Avg Temp (F),scaled_State Avg Windspeed (mph),scaled_State Avg Precipitation (mm),scaled_Monthly Net Energy for Load (GWh),scaled_Monthly Peak Hour Demand (MW),scaled_State Avg Snowfall (mm)
0,2018-01-02 10:00:00,Fuel supply emergencies that could impact electric power system adequacy or reliability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.04699255655851601,-0.2545627744590003,-2.000497658817877,1.013082110153987,-0.5060592115796617,-0.2571583232524594,-0.5223600132544116,-0.2652723275045537
1,2018-01-02 06:45:00,System-wide voltage reductions of 3 percent or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0381078352910027,-0.2545627744590003,-1.6571044704815199,-0.8267915025281835,-0.5850014495569053,0.9787319310919634,1.424898161652723,-0.2652723275045537
2,2018-01-12 13:08:00,Cyber event that causes interruptions of electrical system operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.13928841974587863,-0.15872769128295175,-1.6455499710562977,2.1912290844402333,0.2107038214556745,0.46269941289517613,0.25036631681360333,-0.2652723275045537
3,2018-02-04 13:42:00,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2755751359607101,-0.2545627744590003,0.07069422322579634,-1.8070445891755251,-0.584495109969242,-0.07503474934823913,-0.03432362729993072,-0.2652723275045537
4,2018-02-08 13:25:00,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.1408897675298865,-0.20915909702956884,0.09682960175705724,-1.0807641154055203,-0.5849347453940086,-0.07503474934823913,-0.03432362729993072,-0.2652723275045537
5,2018-02-17 16:33:00,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1939374963990315,-0.2545627744590003,-0.2764026838170701,-1.017029298319581,-0.583788038513686,-0.07503474934823913,-0.03432362729993072,-0.2626935122494617
6,2018-02-17 17:56:00,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.19350076518521117,-0.2545627744590003,-0.2764026838170701,-1.017029298319581,-0.583788038513686,-0.07503474934823913,-0.03432362729993072,-0.2626935122494617
7,2018-03-01 11:43:00,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.13972515095969895,-0.20916742797955587,-0.678785943023296,0.75050022202885,0.8327551481517366,0.10232619792883091,-0.27460105501316945,1.4930698849752375
8,2018-03-07 17:15:00,"Loss of electric service to more than 50,000 customers for 1 hour or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.13797822610441765,-0.012965224834502766,-0.8220671427412409,0.7895091639873681,0.4164786084212018,-0.11115001332881086,-0.5412144218318404,-0.2374034042280163
9,2018-03-19 23:29:00,"Loss of electric service to more than 50,000 customers for 1 hour or more",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.10726146406572125,0.07126067953458928,0.5091118852898853,-0.49035243774895154,0.028729906182932568,0.008083514432262677,0.24636373643089307,-0.2652723275045537
10,2018-03-20 19:00:00,"Loss of electric service to more than 50,000 customers for 1 hour or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.13361091396621436,0.2619561247382013,-0.8844336771102163,0.6071979430206117,-0.5491947821965248,-0.11115001332881086,-0.5412144218318404,-0.2652723275045537
