,State Affected_Alabama,State Affected_Arizona,State Affected_Arkansas,State Affected_California,State Affected_Colorado,State Affected_Connecticut,State Affected_Florida,State Affected_Georgia,State Affected_Idaho,State Affected_Illinois,State Affected_Indiana,State Affected_Iowa,State Affected_Kansas,State Affected_Kentucky,State Affected_Louisiana,State Affected_Maryland,State Affected_Massachusetts,State Affected_Michigan,State Affected_Minnesota,State Affected_Mississippi,State Affected_Missouri,State Affected_Montana,State Affected_Nebraska,State Affected_Nevada,State Affected_New Hampshire,State Affected_New Jersey,State Affected_New Mexico,State Affected_New York,State Affected_North Carolina,State Affected_North Dakota,State Affected_Ohio,State Affected_Oklahoma,State Affected_Oregon,State Affected_Pennsylvania,State Affected_South Carolina,State Affected_South Dakota,State Affected_Tennessee,State Affected_Texas,State Affected_Utah,State Affected_Virginia,State Affected_Washington,State Affected_Wisconsin,State Affected_Wyoming,NERC Region_FRCC,NERC Region_MRO,NERC Region_NPCC,NERC Region_RF,NERC Region_SERC,NERC Region_SPP RE,NERC Region_TRE,NERC Region_WECC,Event Type_Cyber Event,Event Type_Other,Event Type_Severe Weather,Event Type_System Operations,Event Type_Transmission / Distribution Interruption,Event Type_Vandalism,scaled_Demand Loss (MW),scaled_Number of Customers Affected,scaled_State Avg Temp (F),scaled_State Avg Windspeed (mph),scaled_State Avg Precipitation (mm),scaled_Monthly Net Energy for Load (GWh),scaled_Monthly Peak Hour Demand (MW),scaled_State Avg Snowfall (mm)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.04699255655851601,-0.2545627744590003,-2.000497658817877,1.013082110153987,-0.5060592115796617,-0.2571583232524594,-0.5223600132544116,-0.2652723275045537
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0381078352910027,-0.2545627744590003,-1.6571044704815199,-0.8267915025281835,-0.5850014495569053,0.9787319310919634,1.424898161652723,-0.2652723275045537
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.13928841974587863,-0.15872769128295175,-1.6455499710562977,2.1912290844402333,0.2107038214556745,0.46269941289517613,0.25036631681360333,-0.2652723275045537
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2755751359607101,-0.2545627744590003,0.07069422322579634,-1.8070445891755251,-0.584495109969242,-0.07503474934823913,-0.03432362729993072,-0.2652723275045537
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.1408897675298865,-0.20915909702956884,0.09682960175705724,-1.0807641154055203,-0.5849347453940086,-0.07503474934823913,-0.03432362729993072,-0.2652723275045537
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1939374963990315,-0.2545627744590003,-0.2764026838170701,-1.017029298319581,-0.583788038513686,-0.07503474934823913,-0.03432362729993072,-0.2626935122494617
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.19350076518521117,-0.2545627744590003,-0.2764026838170701,-1.017029298319581,-0.583788038513686,-0.07503474934823913,-0.03432362729993072,-0.2626935122494617
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.13972515095969895,-0.20916742797955587,-0.678785943023296,0.75050022202885,0.8327551481517366,0.10232619792883091,-0.27460105501316945,1.4930698849752375
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.13797822610441765,-0.012965224834502766,-0.8220671427412409,0.7895091639873681,0.4164786084212018,-0.11115001332881086,-0.5412144218318404,-0.2374034042280163
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.10726146406572125,0.07126067953458928,0.5091118852898853,-0.49035243774895154,0.028729906182932568,0.008083514432262677,0.24636373643089307,-0.2652723275045537
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.13361091396621436,0.2619561247382013,-0.8844336771102163,0.6071979430206117,-0.5491947821965248,-0.11115001332881086,-0.5412144218318404,-0.2652723275045537
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.14351015481280846,-0.24962668659167214,-0.8458798195003042,0.1486575993769514,-0.3301316143668419,0.10232619792883091,-0.27460105501316945,-0.2652723275045537
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.02792196022169503,-0.017130699828028586,-0.8013269268282835,-0.37025853822323124,-0.5315496364836321,-0.11285180248278655,-0.21644777634468151,-0.2652723275045537
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.101583958286057,0.7868059739224544,-0.8013269268282835,-0.37025853822323124,-0.5315496364836321,-0.11285180248278655,-0.21644777634468151,-0.2652723275045537
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.13725034074805043,-0.14209494963380315,0.8273791995696551,-0.09939615278690753,-0.13542438832734957,-2.802792906859446,-2.5474373707008877,-0.2652723275045537
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.1350666846789488,0.03702047508780706,0.07578900720983445,-1.8070445891755251,-0.4785617628220606,0.09079308994503041,0.0031343000605591784,-0.2598205773649916
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.12720552283018288,0.03702047508780706,0.07578900720983445,-1.8070445891755251,-0.4785617628220606,0.09079308994503041,0.0031343000605591784,-0.2598205773649916
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.13462995346512846,-0.14209494963380315,1.3174019696116033,-0.7083156308158739,-0.29218491198187696,-2.5756234080782456,-2.336597220963754,-0.2652723275045537
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.3105136330663363,17.24043219834944,0.010544990034386532,0.4175206121158043,-0.495138240844918,0.38262200841047306,0.6191024955758186,-0.2652723275045537
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.12196474826433897,-0.05416593799546664,1.095357308358252,-0.5477467110162639,-0.08687629545676603,0.9170937906376788,1.177386483197941,-0.2652723275045537
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.09430510472238486,-0.2545627744590003,0.9034069748004061,0.6936576584184826,-0.24502066487111146,-0.19963236934490067,-0.01775791774530608,-0.2652723275045537
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.08338682437687667,-0.14544815700359143,1.1853433079477735,-1.3264059157177133,-0.4523009850836195,1.163535592094612,1.1721436666403064,-0.2652723275045537
